"id","label","description","dialect:sv","dialect:num","dialect:wikidata"
"AED","United Arab Emirates dirham","United Arab Emirates dirham","Emiratisk dirham",784,"Q200294"
"AFN","Afghan afghani","Afghan afghani","Afghani",971,"Q199471"
"ALL","Albanian lek","Albanian lek","Lek",8,"Q130498"
"AMD","Armenian dram","Armenian dram","Dram",51,"Q130498"
"ANG","Netherlands Antillean guilder","Netherlands Antillean guilder","Antillergulden",532,"Q200337"
"AOA","Angolan kwanza","Angolan kwanza","Kwanza",973,"Q199578"
"ARS","Argentine peso","Argentine peso","Argentinsk peso",32,"Q259502"
"AUD","Australian dollar","Australian dollar","Australisk dollar",36,"Q232270"
"AWG","Aruban florin","Aruban florin","Arubansk florin",533,"Q483725"
"AZN","Azerbaijani manat","Azerbaijani manat","Azerbajdzjansk manat",944,"Q179620"
"BAM","Bosnia and Herzegovina convertible mark","Bosnia and Herzegovina convertible mark","Konvertibilna marka",977,"Q179620"
"BBD","Barbados dollar","Barbados dollar","Barbadisk dollar",52,"Q194351"
"BDT","Bangladeshi taka","Bangladeshi taka","Taka",50,"Q172540"
"BGN","Bulgarian lev","Bulgarian lev","Lev",975,"Q201871"
"BHD","Bahraini dinar","Bahraini dinar","Bahrainsk dinar",48,"Q238007"
"BIF","Burundian franc","Burundian franc","Burundisk franc",108,"Q210478"
"BMD","Bermudian dollar","Bermudian dollar","Bermudisk dollar",60,"Q206319"
"BND","Brunei dollar","Brunei dollar","Bruneisk dollar",96,"Q206319"
"BOB","Boliviano","Boliviano","Boliviano",68,"Q173117"
"BRL","Brazilian real","Brazilian real","Real",986,"Q194339"
"BSD","Bahamian dollar","Bahamian dollar","Bahamansk dollar",44,"Q201799"
"BTN","Bhutanese ngultrum","Bhutanese ngultrum","Ngultrum",64,"Q201799"
"BWP","Botswana pula","Botswana pula","Pula",72,"Q186794"
"BYR","Belarusian ruble","Former Belarusian ruble","Vitrysk rubel",974,"Q275112"
"BZD","Belize dollar","Belize dollar","Belizisk dollar",84,"Q1104069"
"CAD","Canadian dollar","Canadian dollar","Kanadensisk dollar",124,"Q4734"
"CDF","Congolese franc","Congolese franc","Kongolesisk franc",976,"Q25344"
"CHF","Swiss franc","Swiss franc","Schweizisk franc",756,"Q200050"
"CLP","Chilean peso","Chilean peso","Chilensk peso",152,"Q1378945"
"CNY","Chinese yuan","Chinese yuan","Renminbi",156,"Q244819"
"COP","Colombian peso","Colombian peso","Colombiansk peso",170,"Q244819"
"CRC","Costa Rican colon","Costa Rican colon","Costaricansk colón",188,"Q201505"
"CUP","Cuban peso","Cuban peso","Kubansk peso",192,"Q201505"
"CVE","Cape Verde escudo","Cape Verde escudo","Kapverdisk escudo",132,"Q131016"
"CZK","Czech koruna","Czech koruna","Tjeckisk krona",203,"Q4594"
"DJF","Djiboutian franc","Djiboutian franc","Djiboutisk franc",262,"Q25417"
"DKK","Danish krone","Danish krone","Dansk krona",208,"Q242922"
"DOP","Dominican peso","Dominican peso","Dominikansk peso",214,"Q199674"
"DZD","Algerian dinar","Algerian dinar","Algerisk dinar",12,"Q199462"
"EGP","Egyptian pound","Egyptian pound","Egyptiskt pund",818,"Q171503"
"ERN","Eritrean nakfa","Eritrean nakfa","Nakfa",232,"Q206243"
"ETB","Ethiopian birr","Ethiopian birr","Birr",230,"Q206243"
"EUR","Euro","Euro","Euro",978,"Q4916"
"FJD","Fiji dollar","Fiji dollar","Fijidollar",242,"Q330044"
"FKP","Falkland Islands pound","Falkland Islands pound","Falklandspund",238,"Q25224"
